Designator,Mid X,Mid Y,Rotation,Layer
U18,121.539,-98.044,0.0,top
U2,131.125,-116.923,90.0,bottom
U3,144.145,-148.59,180.0,bottom
U4,108.331,-148.336,180.0,bottom
U5,96.52,-63.5,180.0,top
U6,96.52,-58.42,180.0,top
U7,80.645,-90.17,0.0,top
U8,73.025,-127.635,0.0,top
U9,115.94,-126.29,90.0,top
X1,101.6,-121.92,270.0,top
Y1,78.105,-82.55,180.0,bottom
Y2,70.485,-120.015,180.0,bottom
Y3,72.41,-138.43,180.0,top
